"","edge","buffer","sp","best_model","aic","r.sq"
"38",5,200,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",246.365880739617,0.232677746205354
"39",1,250,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",248.698580296201,0.134005109646308
"40",1,250,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",249.486420194964,0.151289318273444
"41",3,250,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",248.698580296201,0.134005109646308
"42",3,250,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",249.47038011057,0.15000990448101
"43",3,250,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",249.378567823883,0.252492484410139
"44",5,250,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",248.698580296201,0.134005109646308
"45",5,250,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",249.535084583284,0.144571788936936
"46",5,250,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",249.260981324106,0.250405352393494
"47",1,300,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",246.920682544206,0.223189826096857
"48",3,300,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",244.980730806174,0.231483896444073
"49",3,300,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",245.028886151733,0.259483143503219
"50",5,300,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",245.510656295723,0.228143999802022
"51",5,300,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",245.539491731118,0.253791108509098
"52",1,400,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",236.855424683178,0.355546378927103
"53",3,400,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",238.020840280827,0.340377599047659
"54",3,400,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",239.951747301939,0.33545422344607
"55",5,400,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",240.436026936149,0.307200665008923
"56",5,400,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",242.171151721928,0.306273481224475
"57",1,500,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",242.522064191738,0.308320652942765
"58",3,500,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",241.871927487263,0.312591071067698
"59",5,500,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",243.216341952671,0.281472523413802
"60",1,600,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",242.141815676989,0.270050180244979
"61",3,600,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",244.129390968761,0.235348058861422
"62",3,600,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",245.610661727298,0.240385608218635
"63",5,600,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",246.846309121104,0.189267553175222
"64",5,600,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",248.660751974858,0.189614456755696
