"","edge","buffer","sp","best_model","aic","r.sq"
"33",5,50,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",384.159964771322,0.184812615022834
"34",1,70,"PALSP","PALSP ~ s(edge_perc, k = 4)",381.827990443899,0.0719466209002462
"35",1,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",382.287741456683,0.0859835990877643
"36",1,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",382.813471897005,0.0685806170399453
"37",1,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",382.687580992804,0.0811704828800948
"38",3,70,"PALSP","PALSP ~ s(edge_perc, k = 4)",386.079906095114,0.0164716613139338
"39",3,70,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",385.227382574927,0.0538004298781946
"40",3,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.382217783003,0.0432256899559217
"41",3,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",386.349958304831,-0.00880458882961821
"42",3,70,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.204129962262,0.0500352355042293
"43",3,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",386.412963599153,0.0242736031882083
"44",5,70,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",385.172855472563,0.0548305272906053
"45",5,70,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",387.056513565148,0.0366562529605025
"46",5,70,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.156287476373,0.0505030361135362
"47",1,100,"PALSP","PALSP ~ s(edge_perc, k = 4)",382.778606418451,0.0808409808521592
"48",1,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",383.419292256203,0.0831936347185757
"49",1,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",383.871876865255,0.0813582758169331
"50",1,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",383.923490743124,0.0783127296291665
"51",3,100,"PALSP","PALSP ~ s(edge_perc, k = 4)",386.052236954941,0.0258044849554354
"52",3,100,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",385.229234625282,0.0531651074805159
"53",3,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.445741986362,0.0439292375025668
"54",3,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",386.982190465695,0.0128999839053768
"55",3,100,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.55956865164,0.0393053816660899
"56",3,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",387.017041696808,0.0288428198640605
"57",5,100,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",385.327293235102,0.0513087156382365
"58",5,100,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",387.177609356206,0.0339805287957596
"59",5,100,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.675324540989,0.0367351818807102
"60",1,120,"PALSP","PALSP ~ s(edge_perc, k = 4)",385.816486643817,0.0234809819604934
"61",1,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.494896553393,0.0643776180261112
"62",1,120,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",385.430108647882,0.0540879010012464
"63",1,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",385.899017110511,0.0523840770115744
"64",1,120,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",386.350276452583,0.0380719685552576
"65",1,120,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",385.600927211196,0.0724939643459208
"66",3,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.752312376642,0.0591495623606149
"67",3,120,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.732707457605,0.0389066679561788
"68",3,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.196373673459,0.0468900712419846
"69",5,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.788004978334,0.0584858888280042
"70",5,120,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.711371748729,0.0374573408869197
"71",5,120,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",386.244026348541,0.0457197261511908
"72",1,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.279715422627,0.066197710188301
"73",1,150,"PALSP","PALSP ~ s(land_water_ratio, k = 4)",386.216755342257,0.033555681221242
"74",1,150,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",385.632222088628,0.051103416640811
"75",1,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",385.179612373045,0.0660619748403751
"76",1,150,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",385.947611575248,0.0529532980171663
"77",3,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.470784715943,0.0628404518711211
"78",3,150,"PALSP","PALSP ~ s(land_water_ratio, k = 4)",386.216755342257,0.033555681221242
"79",3,150,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.468936396681,0.0420334943110594
"80",3,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",385.43625356797,0.0616908756258544
"81",5,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4)",384.491577972203,0.0627979709999539
"82",5,150,"PALSP","PALSP ~ s(land_water_ratio, k = 4)",386.216755342257,0.033555681221242
"83",5,150,"PALSP","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",386.385110203609,0.043344299430895
"84",5,150,"PALSP","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",385.482252655903,0.0606828669575921
