"","formula","aic","r.sq"
"1","CTEBOL ~ s(edge_perc, k = 4)",259.728477484926,0.0409919295013143
"2","CTEBOL ~ s(edge_l.mangrove, k = 4)",261.702040874978,-0.0063898658865118
"3","CTEBOL ~ s(land_water_ratio, k = 4)",246.126740393229,0.149043920180886
"4","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",260.837425163446,0.0293031847737625
"5","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",246.436145266959,0.170742282724608
"6","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",247.921507928652,0.129390627431328
"7","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",248.311682855353,0.151754598598574
"8","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",262.419461374432,0.0208691600892846
"9","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",249.867730415161,0.109238194607992
"10","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",250.220593926873,0.131906415371531
"11","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",250.044056270211,0.128462292544193
"12","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",251.975512145339,0.109580195115999
