"","formula","aic","r.sq"
"1","CALSAP ~ s(edge_perc, k = 4)",150.144125532398,0.0184003619308268
"2","CALSAP ~ s(edge_l.mangrove, k = 4)",211.47239399633,-0.0174282172353029
"3","CALSAP ~ s(land_water_ratio, k = 4)",133.458672658289,0.151381364016969
"4","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",151.806850161858,-0.000623443432424819
"5","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",136.595063222864,0.116852889565388
"6","CALSAP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",127.666653250066,0.231635606204464
"7","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",128.620866764,0.217651328703805
"8","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",149.534863811747,0.0201143278489204
"9","CALSAP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",126.795172326393,0.214149479468838
"10","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",130.578729654783,0.200754858898789
"11","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",129.54915580705,0.222477989120883
"12","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",131.666801467506,0.204756915589264
