"","formula","aic","r.sq"
"1","PENSET ~ s(edge_perc, k = 4)",441.739656033009,0.021026448824401
"2","PENSET ~ s(edge_l.mangrove, k = 4)",437.18902680736,0.116870208795761
"3","PENSET ~ s(land_water_ratio, k = 4)",441.069884778679,0.0965262894496265
"4","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",438.621524460635,0.102730941641315
"5","PENSET ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",440.357129812218,0.053467714070997
"6","PENSET ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",436.552714497591,0.140964067086599
"7","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",437.89724615092,0.102045392319316
"8","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",437.500671689401,0.137602366381461
"9","PENSET ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",435.7296774472,0.206644826762195
"10","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",436.711796430896,0.198664075011163
"11","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",435.228445842112,0.159101632778843
"12","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",436.648628936709,0.150307896704662
